scientific_name,synonyms,common_name,family,genus,growth_habit,duration,native_status,height_mature_ft,leaf_retention,flower_color,bloom_period,drought_tolerance,shade_tolerance,lifespan,usda_symbol,catalog_source
Philadelphus cordifolius,,heartleaf mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(I),,,,,,,,PHCO32,USDA PLANTS (public domain)
Philadelphus coronarius,,sweet mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(I)CAN(I),8.0,No,White,Late Spring,Low,Intolerant,Long,PHCO7,USDA PLANTS (public domain)
Philadelphus crinitus,,Trans-Pecos mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHCR3,USDA PLANTS (public domain)
Philadelphus ernestii,,canyon mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHER,USDA PLANTS (public domain)
Philadelphus floridus,,Florida mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHFL4,USDA PLANTS (public domain)
Philadelphus gattingeri,,Gattinger's mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHGA,USDA PLANTS (public domain)
Philadelphus hirsutus,Philadelphus hirsutus var. nanus; Philadelphus hirsutus var. intermedius,streambank mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHHI2,USDA PLANTS (public domain)
Philadelphus hitchcockianus,,Hitchcock's mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHHI3,USDA PLANTS (public domain)
Philadelphus incanus,,hairy mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(I),,,,,,,,PHIN33,USDA PLANTS (public domain)
Philadelphus inodorus,Philadelphus gloriosus; Philadelphus grandiflorus; Philadelphus inodorus var. laxus; Philadelphus inodorus var. carolinus; Philadelphus inodorus var. strigosus; Philadelphus inodorus var. grandiflorus,scentless mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N)CAN(I),,,,,,,,PHIN5,USDA PLANTS (public domain)
Philadelphus karwinskianus,,evergreen mock orange,Hydrangeaceae,Philadelphus,"Shrub, Vine",Perennial,HI(I),,,,,,,,PHKA4,USDA PLANTS (public domain)
Philadelphus lewisii,Philadelphus gordonianus; Philadelphus lewisii var. helleri; Philadelphus lewisii var. ellipticus; Philadelphus lewisii ssp. gordonianus; Philadelphus lewisii var. gordonianus; Philadelphus lewisii var. intermedius; Philadelphus lewisii var. parvifolius; Philadelphus lewisii var. platyphyllus; Philadelphus lewisii var. angustifolius; Philadelphus lewisii var. oblongifolius,Lewis' mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N)CAN(N),12,No,White,Late Spring,Medium,Intolerant,Moderate,PHLE4,USDA PLANTS (public domain)
Philadelphus maculatus,,spotted mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHMA7,USDA PLANTS (public domain)
Philadelphus madrensis,,desert mountain mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHMA8,USDA PLANTS (public domain)
Philadelphus mearnsii,,Mearns' mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHME4,USDA PLANTS (public domain)
Philadelphus stramineus,Philadelphus microphyllus; Philadelphus occidentalis; Philadelphus microphyllus var. ovatus; Philadelphus microphyllus var. minutus; Philadelphus microphyllus ssp. typicus; Philadelphus microphyllus var. linearis; Philadelphus microphyllus ssp. stramineus; Philadelphus microphyllus var. occidentalis; Philadelphus microphyllus ssp. occidentalis; Philadelphus occidentalis var. occidentalis,littleleaf mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),15,No,White,Spring,High,Intolerant,Moderate,PHMI4,USDA PLANTS (public domain)
Philadelphus oreganus,,Oregon mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHOR4,USDA PLANTS (public domain)
Philadelphus palmeri,,Palmer's mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHPA11,USDA PLANTS (public domain)
Philadelphus pubescens,,hoary mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N)CAN(I),,,,,,,,PHPU4,USDA PLANTS (public domain)
Philadelphus intectus,Philadelphus pubescens var. intectus; Philadelphus intectus var. pubigerus,hoary mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHPUI2,USDA PLANTS (public domain)
Philadelphus latifolius,Philadelphus pubescens var. pubescens; Philadelphus pubescens var. verrucosus,hoary mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N)CAN(I),,,,,,,,PHPUP,USDA PLANTS (public domain)
Philadelphus pumilus,,dwarf mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHPU15,USDA PLANTS (public domain)
Philadelphus pumilus var. ovatus,,dwarf mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHPUO,USDA PLANTS (public domain)
Philadelphus pumilus var. pumilus,Philadelphus microphyllus ssp. pumilus,dwarf mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHPUP2,USDA PLANTS (public domain)
Philadelphus serpyllifolius,,thymeleaf mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHSE2,USDA PLANTS (public domain)
Philadelphus sharpianus,Philadelphus sharpianus var. parviflorus,Sharp's mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHSH,USDA PLANTS (public domain)
Philadelphus texensis,Philadelphus texensis var. coryanus; Philadelphus texensis var. texensis,Texas mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHTE3,USDA PLANTS (public domain)
Philadelphus tomentosus,,fuzzy mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(I),,,,,,,,PHTO7,USDA PLANTS (public domain)
Philadelphus trichothecus,,Columbian mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHTR3,USDA PLANTS (public domain)
Philadelphus wootonii,,Wooton's mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHWO,USDA PLANTS (public domain)
Philadelphus zelleri,,Zeller's mock orange,Hydrangeaceae,Philadelphus,Shrub,Perennial,L48(N),,,,,,,,PHZE,USDA PLANTS (public domain)
Philodendron undulatum,,,Araceae,Philodendron,"Subshrub, Shrub, Tree",Perennial,L48(I),,,,,,,,PHUN3,USDA PLANTS (public domain)
Phlomis fruticosa,,shrubby Jerusalem sage,Lamiaceae,Phlomis,Shrub,Perennial,L48(I),,,,,,,,PHFR4,USDA PLANTS (public domain)
Phlox aculeata,,sagebrush phlox,Polemoniaceae,Phlox,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,PHAC2,USDA PLANTS (public domain)
Phlox adsurgens,,northern phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHAD2,USDA PLANTS (public domain)
Phlox alyssifolia,,alyssumleaf phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),,,,,,,,PHAL3,USDA PLANTS (public domain)
Phlox alyssifolia ssp. abdita,,alyssumleaf phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHALA4,USDA PLANTS (public domain)
Phlox alyssifolia ssp. vera,Phlox alyssifolia ssp. alyssifolia,alyssumleaf phlox,Polemoniaceae,Phlox,"Forb/herb, Subshrub",Perennial,L48(N)CAN(N),,,,,,,,PHALA5,USDA PLANTS (public domain)
Phlox alyssifolia ssp. collina,,alyssumleaf phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHALC,USDA PLANTS (public domain)
Phlox amabilis,,Arizona phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHAM6,USDA PLANTS (public domain)
Phlox austromontana,,mountain phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHAU3,USDA PLANTS (public domain)
Phlox austromontana ssp. vera,Phlox austromontana var. lutescens; Phlox austromontana ssp. austromontana,mountain phlox,Polemoniaceae,Phlox,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,PHAUA3,USDA PLANTS (public domain)
Phlox austromontana ssp. densa,,dense mountain phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHAUD,USDA PLANTS (public domain)
Phlox austromontana ssp. prostrata,Phlox austromontana var. prostrata,prostrate mountain phlox,Polemoniaceae,Phlox,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,PHAUP,USDA PLANTS (public domain)
Phlox bifida,,cleft phlox,Polemoniaceae,Phlox,Subshrub,Perennial,L48(N),,,,,,,,PHBI3,USDA PLANTS (public domain)
Phlox bifida ssp. bifida,Phlox bifida ssp. arkansana; Phlox bifida var. glandifera,cleft phlox,Polemoniaceae,Phlox,Subshrub,Perennial,L48(N),,,,,,,,PHBIB,USDA PLANTS (public domain)
Phlox stellaria,Phlox bifida var. cedaria; Phlox bifida ssp. stellaria; Phlox bifida var. stellaria,cleft phlox,Polemoniaceae,Phlox,Subshrub,Perennial,L48(N),,,,,,,,PHBIS,USDA PLANTS (public domain)
Phlox douglasii,Phlox caespitosa; Phlox douglasii ssp. eudouglasii; Phlox caespitosa ssp. eucaespitosa,tufted phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),,,,,,,,PHCA7,USDA PLANTS (public domain)
Phlox caryophylla,,clove phlox,Polemoniaceae,Phlox,Subshrub,Perennial,L48(N),,,,,,,,PHCA14,USDA PLANTS (public domain)
Phlox colubrina,,Snake River phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHCO10,USDA PLANTS (public domain)
Phlox diffusa,,spreading phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),0.5,No,Purple,Late Spring,High,Tolerant,Moderate,PHDI3,USDA PLANTS (public domain)
Phlox azurea,Phlox diffusa ssp. diffusa,spreading phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHDID2,USDA PLANTS (public domain)
Phlox diffusa ssp. longistylis,Phlox diffusa var. longistylis,spreading phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),,,,,,,,PHDIL5,USDA PLANTS (public domain)
Phlox scleranthifolia,Phlox diffusa ssp. scleranthifolia,spreading phlox,Polemoniaceae,Phlox,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,PHDIS2,USDA PLANTS (public domain)
Phlox cyanea,Phlox diffusa ssp. subcarinata,spreading phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHDIS,USDA PLANTS (public domain)
Phlox dolichantha,,Big Bear Valley phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHDO2,USDA PLANTS (public domain)
Phlox hirsuta,Phlox stansburyi var. hirsuta,Yreka phlox,Polemoniaceae,Phlox,Subshrub,Perennial,L48(N),,,,,,,,PHHI7,USDA PLANTS (public domain)
Phlox kelseyi,,Kelsey's phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHKE,USDA PLANTS (public domain)
Phlox kelseyi ssp. glandulosa,,marsh phlox,Polemoniaceae,Phlox,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,PHKEG,USDA PLANTS (public domain)
Phlox kelseyi ssp. kelseyi,Phlox kelseyi ssp. genuina,Kelsey's phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHKEK,USDA PLANTS (public domain)
Phlox kelseyi ssp. salina,,saline phlox,Polemoniaceae,Phlox,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,PHKES,USDA PLANTS (public domain)
Phlox longifolia,,longleaf phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),1.2,No,Purple,Late Spring,High,Intermediate,Long,PHLO2,USDA PLANTS (public domain)
Phlox grayi,Phlox longifolia ssp. brevifolia,longleaf phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHLOB,USDA PLANTS (public domain)
Phlox grahamii,Phlox longifolia ssp. calva; Phlox longifolia ssp. typica; Phlox longifolia ssp. humilis; Phlox longifolia var. peberula; Phlox longifolia ssp. cortezana; Phlox longifolia ssp. longifolia; Phlox longifolia var. linearifolia,longleaf phlox,Polemoniaceae,Phlox,"Forb/herb, Subshrub",Perennial,L48(N)CAN(N),,,,,,,,PHLOL2,USDA PLANTS (public domain)
Phlox mollis,Phlox kelseyi var. ciliata,soft phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHMO6,USDA PLANTS (public domain)
Phlox nivalis,,trailing phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHNI,USDA PLANTS (public domain)
Phlox hentzii,Phlox nivalis ssp. hentzii,Hentz's phlox,Polemoniaceae,Phlox,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,PHNIH,USDA PLANTS (public domain)
Phlox nivalis ssp. nivalis,,trailing phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHNIN,USDA PLANTS (public domain)
Phlox nivalis ssp. texensis,,Texan phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHNIT,USDA PLANTS (public domain)
Phlox oklahomensis,Phlox bifida var. induta,Oklahoma phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHOK,USDA PLANTS (public domain)
Phlox peckii,,Peck's phlox,Polemoniaceae,Phlox,Subshrub,Perennial,L48(N),,,,,,,,PHPE10,USDA PLANTS (public domain)
Phlox pungens,,prickly phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHPU12,USDA PLANTS (public domain)
Phlox rigida,Phlox douglasii ssp. rigida,stiff phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHRI5,USDA PLANTS (public domain)
Phlox sibirica,,Siberian phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,AK(N),,,,,,,,PHSI,USDA PLANTS (public domain)
Phlox borealis,Phlox sibirica ssp. borealis; Phlox sibirica var. borealis,boreal phlox,Polemoniaceae,Phlox,"Forb/herb, Subshrub",Perennial,AK(N),,,,,,,,PHSIB,USDA PLANTS (public domain)
Phlox speciosa,,showy phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),,,,,,,,PHSP,USDA PLANTS (public domain)
Phlox speciosa ssp. lanceolata,,showy phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHSPL,USDA PLANTS (public domain)
Phlox speciosa ssp. lignosa,,showy phlox,Polemoniaceae,Phlox,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,PHSPL2,USDA PLANTS (public domain)
Phlox speciosa ssp. nitida,Phlox speciosa var. nitida,showy phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHSPN2,USDA PLANTS (public domain)
Phlox speciosa ssp. occidentalis,Phlox speciosa var. occidentalis,showy phlox,Polemoniaceae,Phlox,"Forb/herb, Subshrub",Perennial,L48(N)CAN(N),,,,,,,,PHSPO,USDA PLANTS (public domain)
Phlox speciosa ssp. speciosa,,showy phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHSPS,USDA PLANTS (public domain)
Phlox woodhousei,Phlox speciosa ssp. woodhousei; Phlox speciosa ssp. euspeciosa; Phlox speciosa var. woodhousei,Woodhouse's phlox,Polemoniaceae,Phlox,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,PHSPW,USDA PLANTS (public domain)
Phlox stansburyi,,cold-desert phlox,Polemoniaceae,Phlox,Subshrub,Perennial,L48(N),,,,,,,,PHST11,USDA PLANTS (public domain)
Phlox stansburyi ssp. stansburyi,Phlox longifolia var. stansburyi; Phlox stansburyi var. brevifolia; Phlox stansburyi ssp. eustansburyi,cold-desert phlox,Polemoniaceae,Phlox,Subshrub,Perennial,L48(N),,,,,,,,PHSTS3,USDA PLANTS (public domain)
Phlox superba,Phlox stansburyi ssp. superba,cold-desert phlox,Polemoniaceae,Phlox,Subshrub,Perennial,L48(N),,,,,,,,PHSTS4,USDA PLANTS (public domain)
Phlox subulata,,moss phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N)CAN(NI),0.5,No,Purple,Early Spring,Low,Intermediate,Moderate,PHSU3,USDA PLANTS (public domain)
Phlox subulata var. setacea,Phlox subulata ssp. australis; Phlox subulata var. australis,moss phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHSUA2,USDA PLANTS (public domain)
Phlox brittonii,Phlox subulata ssp. brittonii; Phlox subulata var. brittonii,Britton's phlox,Polemoniaceae,Phlox,"Forb/herb, Subshrub",Perennial,L48(N)CAN(I),,,,,,,,PHSUB2,USDA PLANTS (public domain)
Phlox subulata ssp. subulata,,moss phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N)CAN(N),,,,,,,,PHSUS2,USDA PLANTS (public domain)
Phlox tenuifolia,,Santa Catalina Mountain phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHTE6,USDA PLANTS (public domain)
Phlox viridis,,green phlox,Polemoniaceae,Phlox,Subshrub,Perennial,L48(N),,,,,,,,PHVI10,USDA PLANTS (public domain)
Phlox viridis ssp. compacta,Phlox longifolia ssp. compacta,green phlox,Polemoniaceae,Phlox,Subshrub,Perennial,L48(N),,,,,,,,PHVIC3,USDA PLANTS (public domain)
Phlox viridis ssp. longipes,Phlox longifolia ssp. longipes; Phlox longifolia var. longipes; Phlox longifolia var. puberula,green phlox,Polemoniaceae,Phlox,Subshrub,Perennial,L48(N),,,,,,,,PHVIL2,USDA PLANTS (public domain)
Phlox viridis ssp. viridis,Phlox longifolia ssp. viridis; Phlox longifolia var. viridis,green phlox,Polemoniaceae,Phlox,Subshrub,Perennial,L48(N),,,,,,,,PHVIV2,USDA PLANTS (public domain)
Phlox viscida,,sticky phlox,Polemoniaceae,Phlox,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHVI3,USDA PLANTS (public domain)
Phoenix canariensis,,Canary Island date palm,Arecaceae,Phoenix,Tree,Perennial,L48(I),,,,,,,,PHCA13,USDA PLANTS (public domain)
Phoenix dactylifera,,date palm,Arecaceae,Phoenix,"Tree, Shrub",Perennial,L48(I)HI(I),,,,,,,,PHDA4,USDA PLANTS (public domain)
Phoenix reclinata,,Senegal date palm,Arecaceae,Phoenix,Tree,Perennial,L48(I),,,,,,,,PHRE,USDA PLANTS (public domain)
Phoradendron anceps,Phoradendron helleri; Phoradendron chrysocarpum; Viscum anceps,goldenfruit mistletoe,Viscaceae,Phoradendron,"Subshrub, Shrub",Perennial,PR(N)VI(N),,,,,,,,PHAN10,USDA PLANTS (public domain)
Phoradendron barahonae,,island mistletoe,Viscaceae,Phoradendron,"Subshrub, Shrub",Perennial,PR(N),,,,,,,,PHBA4,USDA PLANTS (public domain)
Phoradendron bolleanum,,Bollean mistletoe,Viscaceae,Phoradendron,"Shrub, Subshrub",Perennial,L48(N),,,,,,,,PHBO3,USDA PLANTS (public domain)
Phoradendron californicum,Phoradendron californicum var. distans; Phoradendron californicum var. leucocarpum,mesquite mistletoe,Viscaceae,Phoradendron,"Shrub, Subshrub",Perennial,L48(N),,,,,,,,PHCA8,USDA PLANTS (public domain)
Phoradendron capitellatum,Phoradendron bolleanum var. capitellatum,downy mistletoe,Viscaceae,Phoradendron,"Subshrub, Shrub",Perennial,L48(N),,,,,,,,PHCA12,USDA PLANTS (public domain)
Phoradendron coryae,Phoradendron havardianum; Phoradendron villosum ssp. coryae,Cory's mistletoe,Viscaceae,Phoradendron,"Subshrub, Shrub",Perennial,L48(N),,,,,,,,PHCO14,USDA PLANTS (public domain)
Phoradendron densum,Phoradendron bolleanum ssp. densum; Phoradendron bolleanum var. densum,dense mistletoe,Viscaceae,Phoradendron,"Shrub, Subshrub",Perennial,L48(N),,,,,,,,PHDE14,USDA PLANTS (public domain)
Phoradendron dichotomum,Phoradendron berterianum; Viscum dichotomum,Bertero's mistletoe,Viscaceae,Phoradendron,"Shrub, Subshrub",Perennial,PR(N),,,,,,,,PHDI9,USDA PLANTS (public domain)
Phoradendron hawksworthii,Phoradendron bolleanum ssp. hawksworthii,Hawksworth's mistletoe,Viscaceae,Phoradendron,"Subshrub, Shrub",Perennial,L48(N),,,,,,,,PHHA3,USDA PLANTS (public domain)
Phoradendron hexastichum,Viscum hexastichum,tropical mistletoe,Viscaceae,Phoradendron,"Subshrub, Shrub",Perennial,PR(N),,,,,,,,PHHE7,USDA PLANTS (public domain)
Phoradendron ligatum,Phoradendron juniperinum; Phoradendron juniperinum var. ligatum,juniper mistletoe,Viscaceae,Phoradendron,"Subshrub, Shrub",Perennial,L48(N),,,,,,,,PHJU,USDA PLANTS (public domain)
Phoradendron eatonii,Phoradendron leucarpum; Phoradendron serotinum; Phoradendron flavescens; Phoradendron macrotomum; Phoradendron serotinum var. macrotomum; Phoradendron flavescens var. orbiculatum; Viscum flavescens,oak mistletoe,Viscaceae,Phoradendron,"Subshrub, Shrub",Perennial,L48(N),,,,,,,,PHLE14,USDA PLANTS (public domain)
Phoradendron libocedri,Phoradendron juniperinum ssp. libocedri; Phoradendron juniperinum var. libocedri,incense cedar mistletoe,Viscaceae,Phoradendron,"Shrub, Subshrub",Perennial,L48(N),,,,,,,,PHLI4,USDA PLANTS (public domain)
Phoradendron macrophyllum,,Colorado Desert mistletoe,Viscaceae,Phoradendron,"Shrub, Subshrub",Perennial,L48(N),,,,,,,,PHMA18,USDA PLANTS (public domain)
Phoradendron cockerellii,Phoradendron macrophyllum ssp. cockerellii,Cockerell's mistletoe,Viscaceae,Phoradendron,"Subshrub, Shrub",Perennial,L48(N),,,,,,,,PHMAC,USDA PLANTS (public domain)
Phoradendron coloradense,Phoradendron longispicum; Phoradendron flavescens var. macrophyllum; Phoradendron tomentosum ssp. macrophyllum; Phoradendron tomentosum var. macrophyllum; Phoradendron macrophyllum ssp. macrophyllum,Colorado Desert mistletoe,Viscaceae,Phoradendron,"Subshrub, Shrub",Perennial,L48(N),,,,,,,,PHMAM2,USDA PLANTS (public domain)
Phoradendron pauciflorum,Phoradendron bolleanum ssp. pauciflorum; Phoradendron bolleanum var. pauciflorum,fir mistletoe,Viscaceae,Phoradendron,"Shrub, Subshrub",Perennial,L48(N),,,,,,,,PHPA17,USDA PLANTS (public domain)
Phoradendron piperoides,Loranthus piperoides,Piper mistletoe,Viscaceae,Phoradendron,"Subshrub, Shrub",Perennial,PR(N),,,,,,,,PHPI2,USDA PLANTS (public domain)
Phoradendron randiae,Phoradendron quadrangulare; Loranthus quadrangularis,quacimmila de canario,Viscaceae,Phoradendron,"Subshrub, Shrub",Perennial,PR(N),,,,,,,,PHQU2,USDA PLANTS (public domain)
Phoradendron racemosum,,bigleaf mistletoe,Viscaceae,Phoradendron,"Shrub, Subshrub",Perennial,PR(N)VI(N),,,,,,,,PHRA7,USDA PLANTS (public domain)
Phoradendron rubrum,,mahogany mistletoe,Viscaceae,Phoradendron,"Shrub, Subshrub",Perennial,L48(N),,,,,,,,PHRU,USDA PLANTS (public domain)
Phoradendron tetrapterum,,fourpart mistletoe,Viscaceae,Phoradendron,"Subshrub, Shrub",Perennial,PR(N),,,,,,,,PHTE4,USDA PLANTS (public domain)
Phoradendron tomentosum,Phoradendron serotinum var. pubescens; Phoradendron flavescens var. pubescens,Christmas mistletoe,Viscaceae,Phoradendron,"Subshrub, Shrub",Perennial,L48(N),,,,,,,,PHTO2,USDA PLANTS (public domain)
Phoradendron trinervium,,angled mistletoe,Viscaceae,Phoradendron,"Subshrub, Shrub",Perennial,PR(N)VI(N),,,,,,,,PHTR2,USDA PLANTS (public domain)
Phoradendron villosum,Phoradendron flavescens var. villosum,Pacific mistletoe,Viscaceae,Phoradendron,"Shrub, Subshrub",Perennial,L48(N),,,,,,,,PHVI9,USDA PLANTS (public domain)
Phormium tenax,,New Zealand flax,Agavaceae,Phormium,"Subshrub, Forb/herb",Perennial,HI(I),,,,,,,,PHTE8,USDA PLANTS (public domain)
Photinia davidiana,,Chinese photinia,Rosaceae,Photinia,"Tree, Shrub",Perennial,L48(I)HI(I),,,,,,,,PHDA5,USDA PLANTS (public domain)
Photinia glabra,,Japanese photinia,Rosaceae,Photinia,Shrub,Perennial,L48(I),,,,,,,,PHGL17,USDA PLANTS (public domain)
Photinia serrulata,Photinia serratifolia,Taiwanese photinia,Rosaceae,Photinia,Tree,Perennial,L48(I),,,,,,,,PHSE17,USDA PLANTS (public domain)
Photinia villosa,,Oriental photinia,Rosaceae,Photinia,"Tree, Shrub",Perennial,L48(I),,,,,,,,PHVI81,USDA PLANTS (public domain)
Phragmites communis,Phragmites australis; Phragmites phragmites; Phragmites communis ssp. berlandieri; Phragmites communis var. berlandieri; Phragmites australis var. berlandieri,common reed,Poaceae,Phragmites,"Subshrub, Shrub, Graminoid",Perennial,"L48(I,N)HI(I)CAN(N)",13,No,White,Summer,Low,Intolerant,Long,PHAU7,USDA PLANTS (public domain)
Phragmites australis ssp. americanus × ssp. australis,,hybrid common reed,Poaceae,Phragmites,"Subshrub, Shrub, Graminoid",Perennial,L48(I),,,,,,,,PHAUA8,USDA PLANTS (public domain)
Phyla cuneifolia,Lippia cuneifolia,wedgeleaf,Verbenaceae,Phyla,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,PHCU3,USDA PLANTS (public domain)
Phyla dulcus,Phyla scaberrima; Lippia dulcis,honeyherb,Verbenaceae,Phyla,Shrub,Perennial,L48(N)PR(N),,,,,,,,PHDU4,USDA PLANTS (public domain)
Phyllanthopsis arida,Savia arida; Andrachne arida,Trans-Pecos maidenbush,Euphorbiaceae,Phyllanthopsis,Shrub,Perennial,L48(N),,,,,,,,PHAR6,USDA PLANTS (public domain)
Phyllanthopsis phyllanthoides,Savia phyllanthoides; Leptopus phyllanthoides; Andrachne phyllanthoides,Missouri maidenbush,Euphorbiaceae,Phyllanthopsis,Shrub,Perennial,L48(N),,,,,,,,PHPH9,USDA PLANTS (public domain)
Phyllanthus acidus,Phyllanthus distichus; Phyllanthus sandwicensis; Phyllanthus sandwicensis var. degeneri; Phyllanthus sandwicensis var. ellipticus; Cicca acidua; Cicca disticha,Tahitian gooseberry tree,Euphorbiaceae,Phyllanthus,"Tree, Shrub",Perennial,L48(I)HI(N)PR(I)VI(I),,,,,,,,"PHAC3,PHDI8",USDA PLANTS (public domain)
Phyllanthus acuminatus,,Jamaican gooseberry tree,Euphorbiaceae,Phyllanthus,"Tree, Shrub",Perennial,PR(I)VI(I),,,,,,,,PHAC7,USDA PLANTS (public domain)
Phyllanthus angustifolius,,foliage flower,Euphorbiaceae,Phyllanthus,Shrub,Perennial,L48(I),,,,,,,,PHAN9,USDA PLANTS (public domain)
